id,is_collaborative_post,tagged_users,likes_count,Reel_view_count,Reel_duration,commentsCount,Reel_play_count,type,timestamp,is_sponsored
3.53E+18,collaborative_post,tagged_post,1472,15308,39.241,21,57156,Reel,2024-12-20T11:57:53.000Z,FALSE
3.52E+18,,,2154,,,47,,Image,2024-12-14T17:02:04.000Z,FALSE
3.54E+18,,,3554,20644,89.633,42,69925,Reel,2024-12-31T11:26:41.000Z,FALSE
3.53E+18,collaborative_post,tagged_post,15261,156712,74.812,118,584077,Reel,2024-12-27T16:10:00.000Z,FALSE
3.53E+18,,,2489,17446,60.75,17,60980,Reel,2024-12-30T11:42:22.000Z,FALSE
3.53E+18,,,6190,,,30,,Image,2024-12-17T16:06:57.000Z,FALSE
3.53E+18,,,2343,15514,64.899,18,54493,Reel,2024-12-22T12:38:45.000Z,FALSE
3.53E+18,,,4467,24711,74.837,40,78805,Reel,2024-12-17T12:32:47.000Z,FALSE
3.54E+18,,,1135,6841,89.633,17,26455,Reel,2024-12-31T11:27:31.000Z,FALSE
3.52E+18,collaborative_post,tagged_post,15384,75469,42.168,178,265555,Reel,2024-12-11T10:41:01.000Z,FALSE
3.51E+18,,,1215,6357,57.5,11,22308,Reel,2024-11-27T04:22:04.000Z,FALSE
3.52E+18,,,6285,63825,43.721,55,452996,Reel,2024-12-14T06:03:06.000Z,FALSE
3.50E+18,collaborative_post,tagged_post,6770,29072,41.633,75,89212,Reel,2024-11-14T15:09:28.000Z,FALSE
3.51E+18,,,3514,16117,80.501,16,50263,Reel,2024-11-26T05:57:02.000Z,FALSE
3.49E+18,,,3518,33974,90.033,18,247060,Reel,2024-11-04T10:32:10.000Z,FALSE
3.51E+18,,,4477,20653,89.79,26,66147,Reel,2024-11-26T10:22:48.000Z,FALSE
3.51E+18,,,1488,7625,89.79,4,30014,Reel,2024-11-25T13:33:29.000Z,FALSE
3.51E+18,,,1799,9248,87.073,3,31810,Reel,2024-11-26T16:12:51.000Z,FALSE
3.49E+18,collaborative_post,tagged_post,9296,,,46,,Image,2024-10-31T14:42:16.000Z,FALSE
3.48E+18,,,701,,,13,,Image,2024-10-12T12:00:28.000Z,FALSE
3.51E+18,,,992,5828,89.79,4,23078,Reel,2024-11-26T13:29:52.000Z,FALSE
3.50E+18,,,2470,,,36,,Image,2024-11-19T05:54:09.000Z,FALSE
3.47E+18,,,1519,,,37,,Image,2024-10-05T11:11:53.000Z,FALSE
3.51E+18,,,3456,15156,86.075,16,55418,Reel,2024-11-20T16:18:59.000Z,FALSE
3.44E+18,collaborative_post,tagged_post,11730,,,58,,carousel,2024-08-22T08:00:09.000Z,FALSE
3.44E+18,,,2805,,,16,,Image,2024-08-23T11:47:38.000Z,FALSE
3.44E+18,,,3358,,,15,,Image,2024-08-24T08:25:09.000Z,FALSE
3.47E+18,,,4745,24946,39.966,30,77141,Reel,2024-10-02T07:06:00.000Z,FALSE
3.45E+18,,,4634,,,107,,Image,2024-09-08T07:50:29.000Z,FALSE
3.44E+18,,,5261,,,28,,carousel,2024-08-22T17:04:36.000Z,FALSE
3.44E+18,,,1790,7622,16.434,13,30088,Reel,2024-08-22T13:05:27.000Z,FALSE
3.44E+18,collaborative_post,tagged_post,1447,8271,9.8,9,35708,Reel,2024-08-24T20:33:30.000Z,FALSE
3.44E+18,,,3722,,,29,,Image,2024-08-20T17:13:32.000Z,FALSE
3.44E+18,,,6745,,,59,,carousel,2024-08-21T11:54:53.000Z,FALSE
3.44E+18,,,3330,,,14,,Image,2024-08-19T06:34:18.000Z,FALSE
3.44E+18,,tagged_post,2115,12327,6.801,10,49330,Reel,2024-08-16T06:58:57.000Z,FALSE
3.44E+18,,,2766,,,13,,Image,2024-08-15T10:27:39.000Z,FALSE
3.44E+18,,,2910,11629,13.366,27,42427,Reel,2024-08-16T14:24:23.000Z,FALSE
3.44E+18,,,3107,12033,13.738,24,51491,Reel,2024-08-15T15:21:28.000Z,FALSE
3.44E+18,,,6904,,,36,,Image,2024-08-15T06:37:42.000Z,FALSE
3.44E+18,,,2802,,,24,,Image,2024-08-15T07:20:06.000Z,FALSE
3.44E+18,collaborative_post,tagged_post,8196,,,27,,Image,2024-08-16T16:30:03.000Z,FALSE
3.44E+18,,,10489,,,35,,carousel,2024-08-16T07:10:23.000Z,FALSE
3.43E+18,collaborative_post,tagged_post,12133,,,51,,Image,2024-08-13T14:41:13.000Z,FALSE
3.43E+18,collaborative_post,tagged_post,6553,,,31,,Image,2024-08-13T16:42:29.000Z,FALSE
3.44E+18,collaborative_post,tagged_post,5482,,,11,,Image,2024-08-17T16:15:53.000Z,FALSE
3.43E+18,,,646,8363,58.825,2,27082,Reel,2024-08-13T10:35:35.000Z,FALSE
3.43E+18,,,1391,16996,58.825,3,45760,Reel,2024-08-11T10:35:37.000Z,FALSE
3.43E+18,,,3316,,,33,,Image,2024-08-14T14:49:29.000Z,FALSE
3.43E+18,,,918,9510,56.823,7,31825,Reel,2024-08-12T10:36:02.000Z,FALSE
3.43E+18,,,4573,,,33,,Image,2024-08-13T14:30:39.000Z,FALSE
3.43E+18,,,8052,,,34,,Image,2024-08-12T09:27:20.000Z,FALSE
3.43E+18,,,1235,10129,58.958,11,37384,Reel,2024-08-10T10:36:07.000Z,FALSE
3.43E+18,,,1619,16048,58.958,6,49505,Reel,2024-08-08T10:37:38.000Z,FALSE
3.43E+18,,,444,5085,58.992,0,20873,Reel,2024-08-09T10:35:36.000Z,FALSE
3.43E+18,,,575,4804,55.655,5,19996,Reel,2024-08-07T10:35:36.000Z,FALSE
3.43E+18,,,853,5824,58.691,13,22734,Reel,2024-08-05T10:37:39.000Z,FALSE
3.43E+18,,,907,7723,57.791,4,28349,Reel,2024-08-04T10:37:39.000Z,FALSE
3.43E+18,,,1674,10255,58.958,8,35023,Reel,2024-08-06T10:36:06.000Z,FALSE
3.46E+18,,,1030,11247,59.583,7,38728,Reel,2024-09-19T14:16:49.000Z,FALSE
3.42E+18,,,918,6916,53.82,5,25275,Reel,2024-08-01T10:35:35.000Z,FALSE
3.42E+18,,,3494,32539,58.958,21,84901,Reel,2024-07-31T10:37:35.000Z,FALSE
3.42E+18,,,2391,28877,59.058,4,64163,Reel,2024-07-30T06:35:35.000Z,FALSE
3.43E+18,,,5203,43636,58.958,31,108325,Reel,2024-08-02T10:35:38.000Z,FALSE
3.43E+18,,,1343,9779,59.058,7,33564,Reel,2024-08-03T10:35:36.000Z,FALSE
3.42E+18,,,314,3091,59.058,0,15512,Reel,2024-07-28T10:36:06.000Z,FALSE
3.43E+18,,,2330,,,38,,Image,2024-08-03T04:53:31.000Z,FALSE
3.42E+18,,,712,6635,58.925,2,24530,Reel,2024-07-26T10:36:06.000Z,FALSE
3.42E+18,,,2609,19914,59.058,15,61088,Reel,2024-07-27T10:36:07.000Z,FALSE
3.42E+18,,,498,5026,59.058,7,19724,Reel,2024-07-29T06:36:07.000Z,FALSE
3.42E+18,,,3690,30218,59.666,29,92687,Reel,2024-07-30T10:41:44.000Z,FALSE
3.42E+18,,,900,6241,59.058,2,24256,Reel,2024-07-29T10:35:41.000Z,FALSE
3.42E+18,,,1588,15735,58.375,9,47422,Reel,2024-07-24T13:36:34.000Z,FALSE
3.42E+18,,,1267,12170,58.858,7,41395,Reel,2024-07-20T10:35:36.000Z,FALSE
3.42E+18,,,3496,18851,59.759,21,56901,Reel,2024-07-19T13:36:07.000Z,FALSE
3.42E+18,,,542,7617,61.958,1,29634,Reel,2024-07-23T12:27:41.000Z,FALSE
3.42E+18,,,1004,,,16,,Image,2024-07-24T12:20:52.000Z,FALSE
3.42E+18,,,7583,44681,57.924,22,116056,Reel,2024-07-21T10:35:35.000Z,FALSE
3.42E+18,,,4527,24962,58.792,60,69065,Reel,2024-07-23T10:35:35.000Z,FALSE
3.42E+18,,,4434,40610,58.992,21,105631,Reel,2024-07-25T10:35:34.000Z,FALSE
3.42E+18,,,1342,10082,58.992,7,31668,Reel,2024-07-22T10:35:36.000Z,FALSE
3.42E+18,,,1300,7817,59.926,9,29349,Reel,2024-07-19T08:36:06.000Z,FALSE
3.42E+18,,,8138,78650,21.468,39,197973,Reel,2024-07-22T08:01:35.000Z,FALSE
3.41E+18,,,57903,427126,37.934,239,826985,Reel,2024-07-17T13:10:28.000Z,FALSE
3.41E+18,,,687,,,11,,Image,2024-07-14T05:59:12.000Z,FALSE
3.41E+18,,,17906,,,147,,Image,2024-07-17T13:24:23.000Z,FALSE
3.42E+18,,,723,4499,58.525,11,19159,Reel,2024-07-24T10:36:06.000Z,FALSE
3.41E+18,,,5406,37983,47.881,19,90897,Reel,2024-07-13T13:45:34.000Z,FALSE
3.42E+18,,,1217,,,30,,Image,2024-07-19T06:08:37.000Z,FALSE
3.41E+18,,,2613,,,15,,Image,2024-07-13T15:00:59.000Z,FALSE
3.41E+18,,,5929,32430,59.759,24,93307,Reel,2024-07-12T13:38:06.000Z,FALSE
3.41E+18,,,1330,7627,58.291,14,28855,Reel,2024-07-10T11:32:03.000Z,FALSE
3.41E+18,,,1705,11102,60.059,6,35427,Reel,2024-07-09T08:36:41.000Z,FALSE
3.40E+18,,tagged_post,6891,,,22,,Image,2024-07-03T20:16:27.000Z,FALSE
3.41E+18,,tagged_post,2834,17220,58.358,20,53207,Reel,2024-07-09T16:31:48.000Z,FALSE
3.40E+18,,,4926,,,41,,Image,2024-06-30T11:21:31.000Z,FALSE
3.38E+18,,,6260,39265,59.92,30,106152,Reel,2024-05-31T02:54:50.000Z,FALSE
3.39E+18,,,3755,20520,78.12,29,61424,Reel,2024-06-18T08:55:20.000Z,FALSE
3.39E+18,,,1525,8695,73.04,12,33293,Reel,2024-06-19T04:17:51.000Z,FALSE
3.38E+18,,tagged_post,1064,9766,59.8,7,32395,Reel,2024-06-04T03:10:36.000Z,FALSE
3.38E+18,,,1145,6595,59.56,13,25301,Reel,2024-05-28T14:34:06.000Z,FALSE
3.39E+18,,,31876,470739,60.026,108,2688316,Reel,2024-06-15T14:41:58.000Z,FALSE
3.38E+18,,tagged_post,1785,11785,56,20,38959,Reel,2024-05-29T02:59:29.000Z,FALSE
3.40E+18,,,1293,22729,1.703,24,95258,Reel,2024-06-30T07:54:31.000Z,FALSE
3.40E+18,,,5652,68846,47.216,49,435408,Reel,2024-06-28T05:26:00.000Z,FALSE
3.38E+18,,,2370,12523,61.36,16,48938,Reel,2024-05-28T14:08:26.000Z,FALSE
3.38E+18,,,1610,10474,60,11,35847,Reel,2024-05-28T21:19:01.000Z,FALSE
3.40E+18,,,3674,,,30,,Image,2024-06-29T17:46:51.000Z,FALSE
3.37E+18,collaborative_post,tagged_post,6786,76471,23.232,100,249549,Reel,2024-05-23T05:00:51.000Z,FALSE
3.37E+18,,,2320,12136,59.993,9,41390,Reel,2024-05-15T15:19:46.000Z,FALSE
3.36E+18,,,3588,15237,59.68,44,50707,Reel,2024-05-08T11:31:05.000Z,FALSE
3.37E+18,,,3049,13175,84.28,48,45972,Reel,2024-05-21T17:20:21.000Z,FALSE
3.37E+18,,tagged_post,1688,,,14,,Image,2024-05-21T14:29:43.000Z,FALSE
3.35E+18,,,13849,167240,43.276,116,1096816,Reel,2024-04-20T10:50:58.000Z,FALSE
3.36E+18,,,2165,,,24,,Image,2024-05-08T17:15:08.000Z,FALSE
3.36E+18,,,3293,,,51,,Image,2024-05-03T18:09:26.000Z,FALSE
3.37E+18,,,5875,23689,60.4,91,76483,Reel,2024-05-13T12:10:05.000Z,FALSE
3.36E+18,,,3361,,,60,,Image,2024-05-08T08:44:26.000Z,FALSE
3.37E+18,,,1504,8095,59.993,15,30051,Reel,2024-05-16T15:01:24.000Z,FALSE
3.37E+18,,,3777,20746,56.36,25,65377,Reel,2024-05-24T03:15:04.000Z,FALSE
3.32E+18,,,1374,,,7,,Image,2024-03-04T03:57:13.000Z,FALSE
3.33E+18,,,3510,20338,56.022,28,62514,Reel,2024-03-28T16:28:19.000Z,FALSE
3.33E+18,,,1030,8136,59.993,7,27021,Reel,2024-03-29T09:36:02.000Z,FALSE
3.32E+18,,,9699,48169,58.68,153,159275,Reel,2024-03-08T05:34:04.000Z,FALSE
3.31E+18,,,4118,,,79,,Image,2024-02-28T14:28:08.000Z,FALSE
3.34E+18,,,7175,98036,60.059,45,284174,Reel,2024-04-06T05:48:32.000Z,FALSE
3.35E+18,,,10905,61539,90,69,162897,Reel,2024-04-14T06:26:46.000Z,FALSE
3.31E+18,,,2247,,,102,,Image,2024-02-18T06:12:22.000Z,FALSE
3.35E+18,,,12215,,,78,,Image,2024-04-16T13:30:58.000Z,FALSE
3.34E+18,,,716,6854,60.059,6,22479,Reel,2024-03-31T13:14:59.000Z,FALSE
3.33E+18,,,1165,,,24,,Image,2024-03-20T08:50:52.000Z,FALSE
3.32E+18,,,4543,33295,8.6,32,117006,Reel,2024-03-14T10:03:29.000Z,FALSE
3.28E+18,,,879,5614,55.889,7,21528,Reel,2024-01-12T06:56:42.000Z,FALSE
3.28E+18,,,1998,11708,57.29,10,39178,Reel,2024-01-12T06:50:13.000Z,FALSE
3.28E+18,collaborative_post,tagged_post,1922,17800,40.166,2,65831,Reel,2024-01-11T13:56:59.000Z,FALSE
3.30E+18,,,11178,,,193,,Image,2024-02-14T05:24:39.000Z,FALSE
3.30E+18,,,3010,19709,88.521,20,53707,Reel,2024-02-06T10:04:39.000Z,FALSE
3.28E+18,,,4571,,,53,,Image,2024-01-15T15:00:11.000Z,FALSE
3.27E+18,,,1446,9702,11.2,27,36203,Reel,2023-12-29T14:20:41.000Z,FALSE
3.27E+18,,,5269,,,58,,Image,2024-01-01T10:21:51.000Z,FALSE
3.28E+18,,,845,4780,60.026,2,19534,Reel,2024-01-12T06:41:55.000Z,FALSE
3.27E+18,collaborative_post,tagged_post,10153,,,52,,Image,2024-01-01T11:47:09.000Z,FALSE
3.29E+18,,,3124,,,40,,Image,2024-02-02T19:00:00.000Z,FALSE
3.22E+18,,,3339,,,29,,Image,2023-10-24T06:56:14.000Z,FALSE
3.22E+18,,,2450,,,18,,Image,2023-10-21T01:27:38.000Z,FALSE
3.24E+18,,,22542,202024,59.003,51,414748,Reel,2023-11-23T02:25:29.000Z,FALSE
3.25E+18,,tagged_post,5105,56817,59.926,15,333489,Reel,2023-12-09T11:52:40.000Z,FALSE
3.23E+18,collaborative_post,tagged_post,4724,,,35,,Image,2023-11-12T14:35:10.000Z,FALSE
3.24E+18,,,4650,,,65,,Image,2023-11-20T16:02:21.000Z,FALSE
3.24E+18,collaborative_post,tagged_post,578,,,30,,Image,2023-11-26T07:53:41.000Z,FALSE
3.22E+18,,,2449,,,17,,Image,2023-10-30T12:08:53.000Z,FALSE
3.28E+18,,,2404,18641,60.026,13,49329,Reel,2024-01-12T07:08:02.000Z,FALSE
3.24E+18,,,15740,138901,55.003,68,313021,Reel,2023-11-17T04:51:40.000Z,FALSE
3.25E+18,,,23921,213029,55.603,68,404640,Reel,2023-12-07T16:04:33.000Z,FALSE
3.26E+18,,,15964,151983,51.836,111,340152,Reel,2023-12-15T13:56:55.000Z,FALSE
3.22E+18,,,1929,,,13,,Image,2023-10-19T01:34:31.000Z,FALSE
3.21E+18,collaborative_post,tagged_post,6243,34260,9.895,81,98867,Reel,2023-10-14T08:04:10.000Z,FALSE
3.22E+18,collaborative_post,tagged_post,6398,,,26,,carousel,2023-10-18T01:15:48.000Z,FALSE
3.22E+18,collaborative_post,tagged_post,8788,,,111,,Image,2023-10-17T00:35:42.000Z,FALSE
3.21E+18,collaborative_post,tagged_post,3665,19377,31.805,40,51952,Reel,2023-10-14T03:32:56.000Z,FALSE
3.21E+18,,,5564,37949,38.101,45,82523,Reel,2023-10-14T05:51:00.000Z,FALSE
3.21E+18,,,1885,,,14,,Image,2023-10-16T09:13:19.000Z,FALSE
3.21E+18,,,3893,,,26,,carousel,2023-10-14T22:05:27.000Z,FALSE
3.22E+18,collaborative_post,tagged_post,4985,,,49,,Image,2023-10-16T21:13:16.000Z,FALSE
3.21E+18,collaborative_post,tagged_post,4450,,,20,,carousel,2023-10-13T04:13:24.000Z,FALSE
3.22E+18,,,1688,,,6,,Image,2023-10-18T00:59:08.000Z,FALSE
3.21E+18,,,1910,,,24,,Image,2023-10-13T05:20:58.000Z,FALSE
3.21E+18,,,1878,,,14,,Image,2023-10-16T04:33:33.000Z,FALSE
3.20E+18,,,1484,12479,89.733,6,31471,Reel,2023-09-30T12:07:20.000Z,FALSE
3.19E+18,,,3783,19030,89.366,41,39068,Reel,2023-09-16T08:19:31.000Z,FALSE
3.20E+18,,,1396,13489,89.466,8,36769,Reel,2023-10-02T15:21:25.000Z,FALSE
3.20E+18,,,2421,15889,75.8,28,39022,Reel,2023-09-25T19:12:38.000Z,FALSE
3.20E+18,,,2488,15750,87.966,27,43399,Reel,2023-09-29T07:55:19.000Z,FALSE
3.21E+18,,,6943,,,65,,Image,2023-10-11T03:21:51.000Z,FALSE
3.21E+18,,,2936,,,22,,Image,2023-10-12T22:31:03.000Z,FALSE
3.21E+18,,,2168,,,7,,Image,2023-10-07T17:11:18.000Z,FALSE
3.21E+18,,,3757,26471,88.4,50,68366,Reel,2023-10-07T12:37:54.000Z,FALSE
3.19E+18,,,1708,10001,81.5,12,25403,Reel,2023-09-18T11:26:05.000Z,FALSE
3.21E+18,collaborative_post,tagged_post,3877,,,18,,Image,2023-10-12T01:15:04.000Z,FALSE
3.18E+18,,tagged_post,1240,8555,70.966,19,20349,Reel,2023-09-04T09:32:05.000Z,FALSE
3.19E+18,,,1517,8694,68.233,13,19534,Reel,2023-09-12T06:24:44.000Z,FALSE
3.19E+18,,,4861,29744,90,35,59580,Reel,2023-09-06T07:37:17.000Z,FALSE
3.19E+18,,,2666,39487,89.533,1,138138,Reel,2023-09-09T15:40:34.000Z,FALSE
3.19E+18,collaborative_post,tagged_post,1134,8221,89.8,11,20525,Reel,2023-09-07T15:05:13.000Z,FALSE
3.18E+18,,,269,,,5,,Image,2023-09-02T07:45:00.000Z,FALSE
3.19E+18,,,1503,,,21,,Image,2023-09-15T08:09:12.000Z,FALSE
3.19E+18,,,7085,42693,80.266,61,82655,Reel,2023-09-14T07:19:57.000Z,FALSE
3.18E+18,,tagged_post,1166,8195,89.966,9,19397,Reel,2023-09-02T03:52:20.000Z,FALSE
3.20E+18,,,1973,10240,59.866,24,23868,Reel,2023-09-20T14:49:44.000Z,FALSE
3.19E+18,,,1225,15332,84.533,4,65683,Reel,2023-09-08T07:29:09.000Z,FALSE
3.19E+18,,,1923,,,19,,Image,2023-09-11T07:23:49.000Z,FALSE
3.18E+18,,,1448,11279,60,6,25761,Reel,2023-08-29T15:46:44.000Z,FALSE
3.17E+18,,,284,,,2,,Image,2023-08-08T21:59:52.000Z,FALSE
3.18E+18,,,2235,11092,57.933,19,26992,Reel,2023-08-26T11:05:45.000Z,FALSE
3.18E+18,,,4893,,,52,,Image,2023-08-23T03:17:13.000Z,FALSE
3.16E+18,,,929,,,1,,Image,2023-08-06T05:58:21.000Z,FALSE
3.16E+18,,,1189,,,9,,Image,2023-08-06T20:28:03.000Z,FALSE
3.18E+18,,,1465,6794,85.366,18,17097,Reel,2023-08-28T11:53:12.000Z,FALSE
3.18E+18,,tagged_post,4559,33834,65.166,13,64016,Reel,2023-08-24T16:17:38.000Z,FALSE
3.18E+18,,,1588,10522,54.4,15,24870,Reel,2023-08-25T15:10:37.000Z,FALSE
3.17E+18,,,2179,,,12,,Image,2023-08-13T18:42:31.000Z,FALSE
3.18E+18,,,1724,15198,53.1,7,29734,Reel,2023-08-28T13:08:46.000Z,FALSE
3.17E+18,collaborative_post,tagged_post,405,3986,24.1,5,14586,Reel,2023-08-19T12:29:05.000Z,FALSE
3.18E+18,,,1929,10444,66.266,15,23873,Reel,2023-08-24T07:40:12.000Z,FALSE
3.16E+18,,tagged_post,4384,,,25,,Image,2023-08-04T19:53:11.000Z,FALSE
3.16E+18,,,1340,,,4,,Image,2023-08-05T05:50:35.000Z,FALSE
3.16E+18,,,4592,53893,42,17,177537,Reel,2023-08-01T20:11:20.000Z,FALSE
3.15E+18,,,663,,,5,,Image,2023-07-18T13:04:51.000Z,FALSE
3.15E+18,,,3011,17771,86.733,26,44477,Reel,2023-07-12T11:05:47.000Z,FALSE
3.16E+18,,,3038,,,22,,carousel,2023-08-05T19:23:33.000Z,FALSE
3.16E+18,,,1943,,,12,,Image,2023-08-04T19:04:32.000Z,FALSE
3.16E+18,,,4053,,,83,,Image,2023-08-01T18:49:17.000Z,FALSE
3.15E+18,,tagged_post,6085,117426,59.2,13,378200,Reel,2023-07-24T13:10:46.000Z,FALSE
3.15E+18,,tagged_post,2757,,,7,,Image,2023-07-17T07:15:37.000Z,FALSE
3.14E+18,,,1973,10819,90.033,15,27206,Reel,2023-07-07T14:44:44.000Z,FALSE
3.14E+18,,,1119,,,51,,Image,2023-07-11T08:43:20.000Z,FALSE
3.14E+18,,,7470,,,154,,Image,2023-07-04T12:14:56.000Z,FALSE
3.14E+18,,,951,,,32,,Image,2023-07-08T07:02:23.000Z,FALSE
3.14E+18,,,3483,,,39,,Image,2023-07-08T08:53:59.000Z,FALSE
3.14E+18,,,2101,12032,79.566,5,31701,Reel,2023-07-02T16:07:28.000Z,FALSE
3.12E+18,,tagged_post,770,5328,59.3,4,15779,Reel,2023-06-14T06:12:34.000Z,FALSE
3.14E+18,,,9593,63569,76.366,31,116758,Reel,2023-07-10T16:06:24.000Z,FALSE
3.13E+18,,,6559,,,60,,Image,2023-06-18T14:32:20.000Z,FALSE
3.13E+18,,,1292,12107,15.8,19,21689,Reel,2023-06-21T14:29:13.000Z,FALSE
3.15E+18,,tagged_post,3647,,,14,,Image,2023-07-15T10:13:00.000Z,FALSE
3.14E+18,,tagged_post,1391,8818,75.333,10,22145,Reel,2023-07-01T13:18:04.000Z,FALSE
3.10E+18,,,1506,8510,59.933,8,20047,Reel,2023-05-11T08:08:37.000Z,FALSE
3.09E+18,,,596,,,6,,Image,2023-04-30T13:42:17.000Z,FALSE
3.10E+18,,,1035,,,10,,Image,2023-05-04T10:06:21.000Z,FALSE
3.09E+18,,,1654,,,4,,Image,2023-04-30T13:40:43.000Z,FALSE
