created_at,author_id,retweet_count,reply_count,like_count,quote_count,bookmark_count,impression_count,text,id,referenced_tweets_type,referenced_tweets_id,media
2024-12-21T13:31:33.000Z,29813965,0,5,51,0,1,11982,Some moments from this #TRSUAETour https://t.co/AhOfGPSvl0,1.87E+18,replied_to,1.87E+18,multiple_images
2024-12-21T13:31:25.000Z,29813965,2,30,278,2,7,21054,"Dubai tour complete ✅

Shot a bunch here as well.

Now I head into my year end break.

Singapore ✅
U.K. ✅
U.A.E ✅

Where to next? Send in your recommendations.

Also send in guest recommendations for our next UAE tour. Adore this country 🇦🇪♥️ https://t.co/sJYwNUXaNO",1.87E+18,,,1_image
2024-12-09T06:42:05.000Z,29813965,14,46,729,1,15,40227,Brooo Jeevansathi needs to hesitate 😭 https://t.co/z4U6bJg1zU,1.87E+18,quoted,1.86E+18,
2024-12-08T12:43:43.000Z,29813965,88,136,5097,24,127,159723,4 iconic podcasts shot over the 3 days of this blessed weekend. https://t.co/CDb4k34mqq,1.87E+18,,,multiple_images
2024-11-30T16:05:27.000Z,29813965,31,86,2096,4,33,57315,"Shooting 11 podcasts in 11 days here in the UK 🇬🇧

Blessed is a life where your job feels like play.

Thank you, universe.

#TRSUKTour https://t.co/WKxEDvDBU5",1.86E+18,,,1_image
2024-11-28T00:23:31.000Z,29813965,20,94,1869,10,28,84471,"Currently in the UK, for my first ever all out podcast shoot tour.

Stepped out of my comfort zone (&amp; country) for the next phase of content creation.

India to the world, baby!

9 podcasts shot already.

#TRSUKTour https://t.co/KunlWpovyU",1.86E+18,,,1_image
2024-11-28T00:20:55.000Z,29813965,0,2,12,0,2,2899,@sriramk All the best Sriram! Always an inspiration 🏹🤍🙏🏻,1.86E+18,replied_to,1.86E+18,
2024-11-27T10:56:30.000Z,29813965,1,6,73,0,1,4552,"@StringReveals @narendramodi Appreciate the response bro, will be seeing you in Mumbai ♥️",1.86E+18,replied_to,1.86E+18,
2024-11-26T16:06:12.000Z,29813965,72,171,1978,11,94,142854,"@StringReveals @narendramodi Brother I understand your perspective. But I also urge you to see the entire episode, not an isolated clip.

Throughout the episode, we had a healthy debate about these topics. 

I'm as Sanatani as you are. But I make it a point to respect everyone who visits my space.

You will… https://t.co/tumeh0xwcE",1.86E+18,replied_to,1.86E+18,
2024-11-25T13:39:19.000Z,29813965,147,52,1143,2,38,68354,"Sad that one of India's best young entrepreneurs has to go through this.

While things have gotten better in our country over the last decade, there's still moments where the system/government can do better.

If you wish to retain India's best young talent... clean up! https://t.co/BsYDfkT8qz",1.86E+18,quoted,1.86E+18,
